     1	   0.0%	   0.0%	1491
     1	   0.0%	   0.0%	1419
     1	   0.0%	   0.0%	1392
     1	   0.0%	   0.1%	1298
     1	   0.0%	   0.1%	1287
     1	   0.0%	   0.1%	1283
     1	   0.0%	   0.1%	1277
     1	   0.0%	   0.1%	1256
     1	   0.0%	   0.1%	1244
     1	   0.0%	   0.1%	1231
     1	   0.0%	   0.2%	1158
     2	   0.0%	   0.2%	1146
     1	   0.0%	   0.2%	1121
     1	   0.0%	   0.2%	1119
     1	   0.0%	   0.2%	1094
     1	   0.0%	   0.2%	1058
     1	   0.0%	   0.2%	1052
     1	   0.0%	   0.3%	1049
     1	   0.0%	   0.3%	1029
     1	   0.0%	   0.3%	1028
     1	   0.0%	   0.3%	1023
     1	   0.0%	   0.3%	1020
     1	   0.0%	   0.3%	1019
     1	   0.0%	   0.3%	1015
     2	   0.0%	   0.4%	1011
     1	   0.0%	   0.4%	1006
     1	   0.0%	   0.4%	1005
     1	   0.0%	   0.4%	994
     1	   0.0%	   0.4%	982
     2	   0.0%	   0.5%	971
     1	   0.0%	   0.5%	967
     1	   0.0%	   0.5%	959
     1	   0.0%	   0.5%	954
     1	   0.0%	   0.5%	950
     1	   0.0%	   0.5%	937
     1	   0.0%	   0.5%	927
     1	   0.0%	   0.5%	917
     1	   0.0%	   0.6%	907
     1	   0.0%	   0.6%	898
     1	   0.0%	   0.6%	897
     1	   0.0%	   0.6%	888
     1	   0.0%	   0.6%	887
     1	   0.0%	   0.6%	874
     2	   0.0%	   0.7%	872
     1	   0.0%	   0.7%	871
     1	   0.0%	   0.7%	863
     2	   0.0%	   0.7%	862
     1	   0.0%	   0.7%	858
     1	   0.0%	   0.7%	857
     1	   0.0%	   0.8%	845
     1	   0.0%	   0.8%	837
     1	   0.0%	   0.8%	836
     1	   0.0%	   0.8%	828
     1	   0.0%	   0.8%	827
     1	   0.0%	   0.8%	822
     1	   0.0%	   0.8%	821
     1	   0.0%	   0.9%	819
     1	   0.0%	   0.9%	818
     2	   0.0%	   0.9%	814
     1	   0.0%	   0.9%	804
     1	   0.0%	   0.9%	803
     1	   0.0%	   0.9%	801
     1	   0.0%	   0.9%	793
     1	   0.0%	   1.0%	789
     1	   0.0%	   1.0%	788
     2	   0.0%	   1.0%	786
     1	   0.0%	   1.0%	785
     1	   0.0%	   1.0%	779
     1	   0.0%	   1.0%	775
     2	   0.0%	   1.1%	773
     1	   0.0%	   1.1%	770
     1	   0.0%	   1.1%	766
     1	   0.0%	   1.1%	765
     1	   0.0%	   1.1%	763
     1	   0.0%	   1.1%	761
     1	   0.0%	   1.2%	760
     1	   0.0%	   1.2%	759
     1	   0.0%	   1.2%	755
     1	   0.0%	   1.2%	754
     2	   0.0%	   1.2%	753
     3	   0.0%	   1.3%	752
     1	   0.0%	   1.3%	750
     1	   0.0%	   1.3%	746
     1	   0.0%	   1.3%	740
     2	   0.0%	   1.3%	737
     1	   0.0%	   1.3%	736
     1	   0.0%	   1.4%	734
     1	   0.0%	   1.4%	733
     5	   0.1%	   1.4%	729
     4	   0.1%	   1.5%	728
     2	   0.0%	   1.5%	727
     4	   0.1%	   1.6%	725
     1	   0.0%	   1.6%	723
     1	   0.0%	   1.6%	721
     1	   0.0%	   1.6%	720
     2	   0.0%	   1.6%	719
     1	   0.0%	   1.7%	717
     1	   0.0%	   1.7%	711
     1	   0.0%	   1.7%	710
     4	   0.1%	   1.7%	708
     2	   0.0%	   1.8%	705
     1	   0.0%	   1.8%	704
     1	   0.0%	   1.8%	703
     1	   0.0%	   1.8%	701
     2	   0.0%	   1.8%	698
     2	   0.0%	   1.9%	697
     1	   0.0%	   1.9%	696
     1	   0.0%	   1.9%	695
     1	   0.0%	   1.9%	694
     1	   0.0%	   1.9%	691
     1	   0.0%	   1.9%	689
     1	   0.0%	   1.9%	688
     1	   0.0%	   2.0%	687
     1	   0.0%	   2.0%	686
     2	   0.0%	   2.0%	683
     3	   0.0%	   2.0%	679
     1	   0.0%	   2.1%	678
     2	   0.0%	   2.1%	676
     1	   0.0%	   2.1%	675
     3	   0.0%	   2.1%	674
     1	   0.0%	   2.2%	673
     3	   0.0%	   2.2%	671
     2	   0.0%	   2.2%	669
     2	   0.0%	   2.3%	666
     2	   0.0%	   2.3%	664
     2	   0.0%	   2.3%	662
     1	   0.0%	   2.3%	661
     1	   0.0%	   2.3%	660
     3	   0.0%	   2.4%	655
     1	   0.0%	   2.4%	654
     1	   0.0%	   2.4%	652
     1	   0.0%	   2.4%	651
     2	   0.0%	   2.4%	650
     2	   0.0%	   2.5%	644
     2	   0.0%	   2.5%	642
     3	   0.0%	   2.5%	641
     1	   0.0%	   2.6%	639
     2	   0.0%	   2.6%	637
     3	   0.0%	   2.6%	636
     2	   0.0%	   2.7%	635
     2	   0.0%	   2.7%	634
     5	   0.1%	   2.7%	633
     1	   0.0%	   2.8%	632
     2	   0.0%	   2.8%	630
     2	   0.0%	   2.8%	629
     1	   0.0%	   2.8%	628
     1	   0.0%	   2.8%	627
     1	   0.0%	   2.9%	626
     2	   0.0%	   2.9%	624
     3	   0.0%	   2.9%	623
     1	   0.0%	   2.9%	621
