TM	d2od5a1-TP	d2od5a1-FP	d2gz1a1-TP	d2gz1a1-FP	d2voca_-TP	d2voca_-FP	d1jz8a5-TP	d1jz8a5-FP	d1zxqa1-TP	d1zxqa1-FP	d2b3ga_-TP	d2b3ga_-FP	d1rjda_-TP	d1rjda_-FP	d1sq5a_-TP	d1sq5a_-FP	d1nk2p_-TP	d1nk2p_-FP
0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.090	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.100	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
0.110	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	2	0	0
0.120	0	0	0	1	0	1	0	0	0	5	0	0	0	2	0	5	0	0
0.130	0	0	0	8	0	0	0	7	0	4	0	2	0	6	0	3	0	0
0.140	0	2	0	4	0	1	0	11	0	3	0	3	0	11	0	15	0	1
0.150	0	4	0	6	0	4	0	21	0	11	0	7	0	21	0	19	0	9
0.160	0	3	0	20	0	11	0	40	0	23	0	15	0	45	0	45	0	11
0.170	0	7	0	19	0	11	0	66	0	36	0	26	0	65	0	61	0	26
0.180	0	10	0	45	0	21	0	97	0	77	0	53	0	91	0	94	0	42
0.190	0	26	1	91	0	35	0	181	0	130	0	125	0	149	0	119	0	107
0.200	0	81	0	135	0	70	0	311	0	255	0	258	0	251	0	195	0	226
0.210	0	171	0	191	0	155	0	477	0	395	0	492	0	428	0	327	0	395
0.220	0	312	0	333	0	219	0	795	0	652	1	776	0	620	0	539	0	694
0.230	0	519	0	566	0	402	0	969	0	869	0	1001	0	774	1	881	0	913
0.240	0	809	0	788	0	595	0	1143	0	1013	1	1156	0	954	3	998	0	1167
0.250	0	1175	0	914	0	880	0	1100	0	1069	1	1298	0	960	3	1172	0	1187
0.260	0	1298	0	1029	0	1113	0	994	0	1065	0	1183	0	922	4	1239	0	1098
0.270	0	1241	0	997	0	1281	0	809	0	972	0	1142	0	857	3	1137	0	983
0.280	1	1156	0	944	0	1211	0	644	0	796	0	882	1	833	5	941	0	851
0.290	0	957	0	753	0	1092	0	531	0	643	0	787	0	650	8	777	0	698
0.300	0	797	0	657	0	945	0	443	0	533	0	567	0	538	9	622	1	584
0.310	0	601	0	505	0	757	0	444	0	372	0	422	1	441	8	472	1	450
0.320	0	417	0	408	0	572	0	407	0	326	0	278	2	332	15	402	0	369
0.330	0	348	0	306	0	440	0	316	0	270	0	184	0	296	15	274	1	266
0.340	0	280	0	315	0	292	0	295	0	252	0	124	1	304	18	211	0	232
0.350	1	209	0	229	0	242	0	262	0	227	0	106	1	295	11	128	1	193
0.360	1	162	0	216	0	168	1	167	0	162	0	68	1	284	9	94	3	149
0.370	2	129	0	171	0	145	0	124	0	141	2	30	0	220	14	82	3	106
0.380	3	77	0	137	0	118	0	57	0	100	0	39	2	197	16	55	4	81
0.390	1	49	2	135	0	90	0	43	0	83	1	19	2	141	19	27	4	72
0.400	4	35	0	153	1	78	0	24	1	58	3	13	2	95	17	10	5	48
0.410	6	23	0	107	0	50	0	19	0	48	4	6	0	54	10	7	5	45
0.420	13	24	1	126	1	30	0	14	1	41	6	3	1	57	7	3	2	30
0.430	4	25	3	108	2	20	0	14	1	26	2	2	1	48	4	2	4	18
0.440	11	17	7	96	1	12	1	10	1	31	4	5	3	49	5	0	5	15
0.450	8	10	8	78	1	9	0	10	1	22	3	11	2	38	5	0	6	16
0.460	9	11	16	84	2	4	1	7	1	16	4	2	5	30	1	0	3	18
0.470	6	11	13	61	3	0	0	8	0	24	3	2	9	8	3	0	9	4
0.480	11	6	9	54	5	2	2	12	0	28	7	5	2	15	3	0	3	2
0.490	9	8	13	49	5	1	2	10	0	22	7	3	8	12	6	0	9	0
0.500	9	3	22	35	5	0	3	15	3	22	3	7	4	2	7	0	7	1
0.510	15	2	26	25	5	0	5	26	2	14	5	0	5	0	4	0	3	1
0.520	16	1	34	15	4	0	8	28	2	20	8	1	4	0	5	0	1	0
0.530	6	2	12	14	5	0	6	39	4	21	3	0	5	0	5	0	4	0
0.540	11	0	6	12	8	0	6	31	2	22	6	0	10	0	2	0	0	0
0.550	9	0	11	15	6	0	8	21	4	17	3	1	5	0	2	0	1	0
0.560	6	0	7	9	7	0	11	24	2	21	4	0	7	0	0	0	0	1
0.570	8	0	5	6	5	0	10	16	1	19	3	0	7	0	1	0	1	0
0.580	3	0	5	9	5	0	8	11	6	27	5	0	7	0	0	0	1	0
0.590	4	0	3	5	3	0	4	3	8	23	1	1	6	0	0	0	0	0
0.600	2	0	3	5	3	0	3	3	10	18	4	1	4	0	0	0	0	0
0.610	4	0	3	0	6	0	3	5	14	15	2	0	4	0	0	0	0	0
0.620	4	0	1	1	6	0	5	0	15	9	0	1	1	0	0	0	1	0
0.630	1	0	1	0	10	0	2	0	16	2	1	0	0	0	0	0	1	0
0.640	1	0	0	0	2	0	1	0	16	8	1	0	0	0	0	0	3	0
0.650	2	0	0	0	0	0	1	0	5	3	3	0	0	0	0	0	1	0
0.660	0	0	0	0	7	0	1	0	14	0	0	1	0	0	1	0	0	0
0.670	1	0	1	0	1	0	5	0	4	0	0	0	0	0	0	0	1	0
0.680	0	0	2	0	0	0	3	0	2	2	0	0	0	0	2	0	1	0
0.690	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
0.700	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
0.710	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
0.720	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
0.730	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
0.740	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0
0.750	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.770	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.780	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.790	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.800	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.810	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.820	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.830	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.840	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.850	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.870	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.000	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0
