d1qksa2 b.70 d1l0qa2 b.69 6.386e-14
d1l0qa2 b.69 d1qksa2 b.70 1.459e-12
d1fwxa2 b.69 d1qksa2 b.70 2.133e-12
d1qksa2 b.70 d1fwxa2 b.69 3.21e-12
d1npea_ b.68 d1l0qa2 b.69 3.686e-12
d1ijqa1 b.68 d1l0qa2 b.69 5.67e-12
d1rwia_ b.68 d1l0qa2 b.69 5.678e-12
d2pbib_ b.69 d1q7fa_ b.68 6.018e-12
d1w6sa_ b.70 d2ovrb2 b.69 1.028e-11
d1kb0a2 b.70 d2ovrb2 b.69 1.039e-11
d1ve9a1 c.4 d1pj5a2 c.3 1.206e-11
d1k3ia3 b.69 d1zgka1 b.68 1.312e-11
d1q7fa_ b.68 d1l0qa2 b.69 2.178e-11
d1pj5a2 c.3 d1ve9a1 c.4 2.295e-11
d1zgka1 b.68 d1k3ia3 b.69 2.926e-11
d1q7fa_ b.68 d3emha_ b.69 3.126e-11
d1q7fa_ b.68 d2pbib_ b.69 5.806e-11
d1l0qa2 b.69 d1npea_ b.68 6.085e-11
d3emha_ b.69 d1q7fa_ b.68 6.791e-11
d1l0qa2 b.69 d1rwia_ b.68 7.05e-11
d2bi7a1 c.4 d2ivda1 c.3 7.245e-11
d1qksa2 b.70 d1ri6a_ b.69 8.107e-11
d1k3ia3 b.69 d2vpja_ b.68 1.266e-10
d2vpja_ b.68 d1k3ia3 b.69 1.276e-10
d1l0qa2 b.69 d1q7fa_ b.68 1.791e-10
d1qksa2 b.70 d1gxra_ b.69 1.794e-10
d2bi7a1 c.4 d1seza1 c.3 1.95e-10
d1q7fa_ b.68 d1gxra_ b.69 2.003e-10
d1c0pa1 c.4 d1pj5a2 c.3 2.048e-10
d2ovrb2 b.69 d1kb0a2 b.70 2.213e-10
d1pj5a2 c.3 d1c0pa1 c.4 2.521e-10
d2bi7a1 c.4 d1s3ea1 c.3 2.826e-10
d1l0qa2 b.69 d1ijqa1 b.68 3.229e-10
d1erja_ b.69 d1q7fa_ b.68 3.306e-10
d1ri6a_ b.69 d1qksa2 b.70 3.365e-10
d1qksa2 b.70 d1jmxb_ b.69 3.763e-10
d2gf3a1 c.3 d1c0pa1 c.4 4.029e-10
d1gxra_ b.69 d1q7fa_ b.68 4.283e-10
d2ovrb2 b.69 d1w6sa_ b.70 4.334e-10
d1seza1 c.3 d2bi7a1 c.4 5.214e-10
d1q7fa_ b.68 d1erja_ b.69 5.34e-10
d1qksa2 b.70 d2bbkh_ b.69 5.451e-10
d1c0pa1 c.4 d2gf3a1 c.3 6.011e-10
d1rwia_ b.68 d1nr0a2 b.69 8.763e-10
d1npea_ b.68 d3emha_ b.69 8.928e-10
d1c0pa1 c.4 d1ryia1 c.3 9.138e-10
d1gtea4 c.4 d1fl2a1 c.3 9.28e-10
d1ri6a_ b.69 d2hqsa1 b.68 9.661e-10
d1qksa2 b.70 d2ovrb2 b.69 9.759e-10
d2hqsa1 b.68 d1ri6a_ b.69 9.854e-10
d1qksa2 b.70 d1pbyb_ b.69 1.029e-09
d2pbib_ b.69 d1qksa2 b.70 1.105e-09
d2ivda1 c.3 d2bi7a1 c.4 1.132e-09
d1s3ea1 c.3 d2bi7a1 c.4 1.33e-09
d1q7fa_ b.68 d1vyhc1 b.69 1.352e-09
d1fl2a1 c.3 d1gtea4 c.4 1.402e-09
d1erja_ b.69 d2hqsa1 b.68 1.546e-09
d1npea_ b.68 d1pbyb_ b.69 1.682e-09
d1i8ta1 c.4 d2ivda1 c.3 1.732e-09
d2hqsa1 b.68 d1l0qa2 b.69 1.808e-09
d1jmxb_ b.69 d1qksa2 b.70 1.891e-09
d1vyhc1 b.69 d1q7fa_ b.68 1.925e-09
d1gxra_ b.69 d1qksa2 b.70 1.933e-09
d1qksa2 b.70 d3emha_ b.69 1.942e-09
d1flga_ b.70 d1nexb2 b.69 2.023e-09
d1k32a3 b.69 d1k32a2 b.68 2.231e-09
d1ijqa1 b.68 d1ri6a_ b.69 2.319e-09
d1kb0a2 b.70 d1nexb2 b.69 2.459e-09
d1k32a2 b.68 d1k32a3 b.69 2.81e-09
d1ryia1 c.3 d1c0pa1 c.4 2.953e-09
d1qksa2 b.70 d2pbib_ b.69 3.127e-09
d1ve9a1 c.4 d2gf3a1 c.3 3.135e-09
d3emha_ b.69 d1npea_ b.68 3.289e-09
d1ve9a1 c.4 d1ryia1 c.3 3.332e-09
d2gf3a1 c.3 d1ve9a1 c.4 3.468e-09
d2ghsa1 b.68 d1l0qa2 b.69 3.57e-09
d1nexb2 b.69 d1flga_ b.70 3.696e-09
d1npea_ b.68 d1ri6a_ b.69 3.713e-09
d1seza1 c.3 d1i8ta1 c.4 3.868e-09
d1pbyb_ b.69 d1qksa2 b.70 3.952e-09
d1qksa2 b.70 d1erja_ b.69 4.075e-09
d1i8ta1 c.4 d1seza1 c.3 4.613e-09
d2pbib_ b.69 d1npea_ b.68 4.675e-09
d1npea_ b.68 d1nr0a2 b.69 4.835e-09
d1npea_ b.68 d2ovrb2 b.69 4.835e-09
d3emha_ b.69 d1qksa2 b.70 4.922e-09
d1flga_ b.70 d2ovrb2 b.69 5.225e-09
d1gtea4 c.4 d1trba1 c.3 5.25e-09
d1trba1 c.3 d1gtea4 c.4 5.386e-09
d1ijqa1 b.68 d1nr0a2 b.69 5.561e-09
