TM	TP	FP	Sens	Prec	FPR
1.00	0	0	0	0	0
0.99	0	0	0	0	0
0.98	0	0	0	0	0
0.97	2	0	4.4e-06	1	0
0.96	8	0	1.76e-05	1	0
0.95	52	0	0.000114	1	0
0.94	182	0	0.0004	1	0
0.93	388	0	0.000853	1	0
0.92	784	0	0.00172	1	0
0.91	1430	0	0.00314	1	0
0.90	2260	0	0.00497	1	0
0.89	3286	0	0.00723	1	0
0.88	4502	0	0.0099	1	0
0.87	5924	2	0.013	1	0.000337
0.86	7362	2	0.0162	1	0.000272
0.85	9058	4	0.0199	1	0.000441
0.84	10932	8	0.024	0.999	0.000731
0.83	12912	10	0.0284	0.999	0.000774
0.82	14956	22	0.0329	0.999	0.00147
0.81	17196	32	0.0378	0.998	0.00186
0.80	19686	52	0.0433	0.997	0.00263
0.79	22340	90	0.0491	0.996	0.00401
0.78	25418	130	0.0559	0.995	0.00509
0.77	28670	198	0.063	0.993	0.00686
0.76	32326	266	0.0711	0.992	0.00816
0.75	36456	368	0.0802	0.99	0.00999
0.74	40812	546	0.0897	0.987	0.0132
0.73	45555	724	0.1	0.984	0.0156
0.72	50732	1016	0.112	0.98	0.0196
0.71	56344	1352	0.124	0.977	0.0234
0.70	62526	1818	0.137	0.972	0.0283
0.69	68728	2442	0.151	0.966	0.0343
0.68	75364	3228	0.166	0.959	0.0411
0.67	82507	4302	0.181	0.95	0.0496
0.66	90277	5796	0.199	0.94	0.0603
0.65	98343	7822	0.216	0.926	0.0737
0.64	106855	10733	0.235	0.909	0.0913
0.63	115330	14752	0.254	0.887	0.113
0.62	124546	20133	0.274	0.861	0.139
0.61	134363	27040	0.295	0.832	0.168
0.60	144496	36778	0.318	0.797	0.203
0.59	155394	49955	0.342	0.757	0.243
0.58	166756	67153	0.367	0.713	0.287
0.57	178803	88131	0.393	0.67	0.33
0.56	190792	113642	0.42	0.627	0.373
0.55	203459	145050	0.447	0.584	0.416
0.54	216443	181514	0.476	0.544	0.456
0.53	230022	224207	0.506	0.506	0.494
0.52	243570	274181	0.536	0.47	0.53
0.51	257053	332613	0.565	0.436	0.564
0.50	270549	401266	0.595	0.403	0.597
0.49	283459	482339	0.623	0.37	0.63
0.48	296242	579027	0.651	0.338	0.662
0.47	308347	695343	0.678	0.307	0.693
0.46	320048	835142	0.704	0.277	0.723
0.45	331452	1005923	0.729	0.248	0.752
0.44	342480	1217420	0.753	0.22	0.78
0.43	353047	1480943	0.776	0.193	0.807
0.42	362894	1815501	0.798	0.167	0.833
0.41	372226	2244101	0.819	0.142	0.858
0.40	380957	2795776	0.838	0.12	0.88
0.39	389170	3503867	0.856	0.1	0.9
0.38	396559	4419957	0.872	0.0823	0.918
0.37	403255	5596532	0.887	0.0672	0.933
0.36	409183	7114823	0.9	0.0544	0.946
0.35	414766	9081898	0.912	0.0437	0.956
0.34	420142	11640860	0.924	0.0348	0.965
0.33	425417	14976771	0.935	0.0276	0.972
0.32	430043	19333074	0.946	0.0218	0.978
0.31	434353	24961208	0.955	0.0171	0.983
